,GRUPO/FAMILIA,CODIGO,EQUIPO,
,LOSA PLACA,751200,VIGA SECUNDARIA METALICA L 1200,
,LOSA PLACA,751500,VIGA SECUNDARIA METALICA L 1500,
,LOSA PLACA,751800,VIGA SECUNDARIA METALICA L 1800,
,LOSA PLACA,752000,VIGA SECUNDARIA METALICA L 2000,
,LOSA PLACA,752400,VIGA SECUNDARIA METALICA L 2400,
,LOSA PLACA,752700,VIGA SECUNDARIA METALICA L 2700,
,LOSA PLACA,753000,VIGA SECUNDARIA METALICA L 3000,
,LOSA PLACA,753300,VIGA SECUNDARIA METALICA L 3300,
,LOSA PLACA,753600,VIGA SECUNDARIA METALICA L 3600,
,ACCESORIOS,723432,X-BASE ANCLAJE,
